日期,隊伍,總分
20230413,Tigers vs Blue Jays,4
20230413,Pirates vs Cardinals,5
20230413,Brewers vs Padres,7
20230414,Diamondbacks vs Marlins,6
20230414,Phillies vs Reds,11
20230414,Giants vs Tigers,12
20230414,Guardians vs Nationals,7
20230414,Twins vs Yankees,7
20230414,Rays vs Blue Jays,9
20230414,Angels vs Red Sox,8
20230414,Orioles vs White Sox,9
20230414,Braves vs Royals,13
20230414,Rangers vs Astros,8
20230414,Pirates vs Cardinals,3
20230414,Mets vs Athletics,23
20230414,Brewers vs Padres,13
20230414,Cubs vs Dodgers,10
20230414,Rockies vs Mariners,8
20230415,Twins vs Yankees,7
20230415,Giants vs Tigers,13
20230415,Orioles vs White Sox,13
20230415,Pirates vs Cardinals,9
20230415,Rays vs Blue Jays,7
20230415,Guardians vs Nationals,10
20230415,Brewers vs Padres,13
20230415,Mets vs Athletics,5
20230415,Angels vs Red Sox,16
20230415,Diamondbacks vs Marlins,5
20230415,Braves vs Royals,12
20230415,Phillies vs Reds,13
20230415,Rangers vs Astros,10
20230415,Cubs vs Dodgers,3
20230415,Rockies vs Mariners,11
20230416,Angels vs Red Sox,3
20230416,Guardians vs Nationals,13
20230416,Twins vs Yankees,2
20230416,Rays vs Blue Jays,9
20230416,Diamondbacks vs Marlins,5
20230416,Phillies vs Reds,17
20230416,Braves vs Royals,9
20230416,Orioles vs White Sox,12
20230416,Pirates vs Cardinals,9
20230416,Mets vs Athletics,7
20230416,Cubs vs Dodgers,5
20230416,Rockies vs Mariners,1
20230416,Brewers vs Padres,1
20230416,Rangers vs Astros,10
20230417,Angels vs Red Sox,9
20230417,Giants vs Marlins,7
20230417,Rays vs Reds,9
20230417,Rangers vs Royals,4
20230417,Diamondbacks vs Cardinals,9
20230417,Blue Jays vs Astros,11
20230417,Pirates vs Rockies,17
20230417,Cubs vs Athletics,11
20230417,Brewers vs Mariners,10
20230417,Braves vs Padres,2
20230417,Mets vs Dodgers,14
20230418,Guardians vs Tigers,7
20230418,Phillies vs White Sox,11
20230418,Guardians vs Tigers,1
20230418,Giants vs Marlins,6
20230418,Rays vs Reds,10
20230418,Angels vs Yankees,7
20230418,Orioles vs Nationals,1
20230418,Twins vs Red Sox,9
20230418,Phillies vs White Sox,3
20230418,Rangers vs Royals,14
20230418,Diamondbacks vs Cardinals,15
20230418,Blue Jays vs Astros,6
20230418,Pirates vs Rockies,8
20230418,Cubs vs Athletics,4
20230418,Brewers vs Mariners,11
20230418,Braves vs Padres,9
20230418,Mets vs Dodgers,5
20230419,Rays vs Reds,8
20230419,Guardians vs Tigers,5
20230419,Giants vs Marlins,7
20230419,Diamondbacks vs Cardinals,19
20230419,Phillies vs White Sox,7
20230419,Rangers vs Royals,15
20230419,Mets vs Dodgers,8
20230419,Pirates vs Rockies,17
20230419,Cubs vs Athletics,14
20230419,Brewers vs Mariners,8
20230419,Braves vs Padres,1
20230419,Angels vs Yankees,5
20230419,Orioles vs Nationals,4
20230419,Twins vs Red Sox,14
20230419,Blue Jays vs Astros,9
20230420,Twins vs Red Sox,16
20230420,Angels vs Yankees,12
20230420,Reds vs Pirates,7
20230420,Rockies vs Phillies,5
20230420,Dodgers vs Cubs,8
20230420,Padres vs Diamondbacks,12
20230420,Mets vs Giants,13
20230421,Dodgers vs Cubs,13
20230421,Reds vs Pirates,6
20230421,White Sox vs Rays,15
20230421,Rockies vs Phillies,7
20230421,Tigers vs Orioles,3
20230421,Blue Jays vs Yankees,7
20230421,Astros vs Braves,10
20230421,Athletics vs Rangers,9
20230421,Red Sox vs Brewers,8
20230421,Nationals vs Twins,5
20230421,Royals vs Angels,2
20230421,Padres vs Diamondbacks,9
20230421,Cardinals vs Mariners,7
20230421,Mets vs Giants,7
20230422,Blue Jays vs Yankees,5
20230422,Nationals vs Twins,14
20230422,Dodgers vs Cubs,13
20230422,Rockies vs Phillies,7
20230422,Marlins vs Guardians,7
20230422,White Sox vs Rays,7
20230422,Mets vs Giants,11
20230422,Reds vs Pirates,3
20230422,Tigers vs Orioles,6
20230422,Athletics vs Rangers,21
20230422,Red Sox vs Brewers,9
20230422,Astros vs Braves,9
20230422,Padres vs Diamondbacks,8
20230422,Marlins vs Guardians,5
20230422,Royals vs Angels,19
20230422,Cardinals vs Mariners,9
20230423,Rockies vs Phillies,12
20230423,Tigers vs Orioles,3
20230423,Astros vs Braves,7
20230423,Blue Jays vs Yankees,6
20230423,Reds vs Pirates,2
20230423,White Sox vs Rays,5
20230423,Marlins vs Guardians,11
20230423,Red Sox vs Brewers,17
20230423,Nationals vs Twins,4
20230423,Dodgers vs Cubs,10
20230423,Athletics vs Rangers,7
20230423,Royals vs Angels,7
20230423,Padres vs Diamondbacks,12
20230423,Cardinals vs Mariners,10
20230423,Mets vs Giants,9
20230424,Rockies vs Guardians,6
20230424,Red Sox vs Orioles,9
20230424,Astros vs Rays,11
20230424,Rangers vs Reds,13
20230424,White Sox vs Blue Jays,7
20230424,Marlins vs Braves,11
20230424,Tigers vs Brewers,6
20230424,Yankees vs Twins,7
20230424,Athletics vs Angels,21
20230424,Royals vs Diamondbacks,9
20230424,Cardinals vs Giants,4
20230425,Rockies vs Guardians,6
20230425,Red Sox vs Orioles,14
20230425,Dodgers vs Pirates,15
20230425,Astros vs Rays,5
20230425,Mariners vs Phillies,8
